Name,Dihedral Linking Number
12a_0814,"[[7/5, 7/5]]"
12a_0818,"[[0, 0]]"
12a_0823,"[[1, 1]]"
12a_0827,"[[1, 1]]"
12a_0828,"[[1, 1]]"
12a_0841,"[[2, 2]]"
12a_0845,['No Dihedral Linking Number Exists']
12a_0847,"[[0, 0]]"
12a_0852,"[[-2, -2]]"
12a_0853,"[[-2, -2]]"
12a_0855,"[[-3, -3]]"
12a_0858,"[[0, 0]]"
12a_0861,['No Dihedral Linking Number Exists']
12a_0862,"[[-2, -2]]"
12a_0864,"[[-7/8, -7/8]]"
12a_0873,"[[2, 2], [1, 1], [8, 8], [7/2, 7/2]]"
12a_0876,"[[10, 10]]"
12a_0878,"[[-2, -2]]"
12a_0882,"[[-6/13, -6/13]]"
12a_0886,"[[0, 0], [-2, -2], [0, 0], [22/13, 22/13]]"
12a_0888,"[[0, 0]]"
12a_0893,['No Dihedral Linking Number Exists']
12a_0894,"[[0, 0]]"
12a_0895,"[[8/5, 8/5], 'No Dihedral Linking Number Exists', [4, 4], [2/3, 2/3]]"
12a_0902,"[[0, 0]]"
12a_0903,['No Dihedral Linking Number Exists']
12a_0904,"[[5/3, 5/3]]"
12a_0905,"[[3/2, 3/2], [2/5, 2/5], [2, 2], [-2/3, -2/3]]"
12a_0907,"[[2, 2]]"
12a_0909,"[[2, 2]]"
12a_0912,"[[0, 1]]"
12a_0913,"[[1/3, 1/3]]"
12a_0914,['No Dihedral Linking Number Exists']
12a_0916,"[[1, 1]]"
12a_0919,"[[0, 0]]"
12a_0923,"[[2, 2]]"
12a_0924,"[[7/3, 7/3]]"
12a_0927,['No Dihedral Linking Number Exists']
12a_0928,"[[-2/3, -2/3]]"
12a_0930,"[[1, 1]]"
12a_0931,"[[4, 4]]"
