Name,Dihedral Linking Numbers
11a_348,"[[[-1, -2, 2], [-2, -1, 0], [2, 0, -3]], [[-1, -2, 2], [-2, -1, 0], [2, 0, -3]]]"
11a_349,"[[[-1, -2, 2], [-2, -1, 0], [2, 0, -3]], [[-1, -2, 2], [-2, -1, 0], [2, 0, -3]]]"
11a_350,"[[[12/11, -90/11, 62/11], [-90/11, 59/11, -14/11], [62/11, -14/11, -17/11]], [[12/11, -90/11, 62/11], [-90/11, 59/11, -14/11], [62/11, -14/11, -17/11]]]"
11a_351,"[[[12/41, 122/41, -210/41], [122/41, -17/41, -44/41], [-210/41, -44/41, 149/41]], [[12/41, 122/41, -210/41], [122/41, -17/41, -44/41], [-210/41, -44/41, 149/41]]]"
11a_352,"[[[-148, 122, -50], [122, -97, 36], [-50, 36, -11]], [[-148, 122, -50], [122, -97, 36], [-50, 36, -11]]]"
11a_354,"[[[15, 6, -18], [6, -2, -6], [-18, -6, 10]], [[15, 6, -18], [6, -2, -6], [-18, -6, 10]]]"
11a_355,"[[[5, -6, -2], [-6, 2, -4], [-2, -4, 0]], [[5, -6, -2], [-6, 2, -4], [-2, -4, 0]]]"
11a_363,"[[[-18, 6, -2], [6, -10, 2], [-2, 2, -6]], [[-18, 6, -2], [6, -10, 2], [-2, 2, -6]]]"
11a_364,"[[[5, -6, -2], [-6, 2, -4], [-2, -4, 0]], [[5, -6, -2], [-6, 2, -4], [-2, -4, 0]]]"
11n_9,"[[[3, -4, 0], [-4, 1, -2], [0, -2, -1]], [[3, -4, 0], [-4, 1, -2], [0, -2, -1]]]"
11n_10,"[[[-3, 0, 4], [0, 2, 2], [4, 2, 0]], [[-3, 0, 4], [0, 2, 2], [4, 2, 0]]]"
11n_11,"[[[3, -4, 0], [-4, 3, -2], [0, -2, 1]], [[3, -4, 0], [-4, 3, -2], [0, -2, 1]]]"
11n_13,"[[[3, -4, 0], [-4, 1, -2], [0, -2, -1]], [[3, -4, 0], [-4, 1, -2], [0, -2, -1]]]"
11n_14,"[[[-3, 0, 4], [0, 2, 2], [4, 2, 0]], [[-3, 0, 4], [0, 2, 2], [4, 2, 0]]]"
11n_15,"[[[3, -4, 0], [-4, 3, -2], [0, -2, 1]], [[3, -4, 0], [-4, 3, -2], [0, -2, 1]]]"
11n_19,"[[[-3, 0, 4], [0, 0, 2], [4, 2, -2]], [[-3, 0, 4], [0, 0, 2], [4, 2, -2]]]"
11n_22,"[[[11, 2, -10], [2, 1, -4], [-10, -4, 7]], [[11, 2, -10], [2, 1, -4], [-10, -4, 7]]]"
11n_37,"[[[9, -6, 2], [-6, 6, -2], [2, -2, 2]], [[9, -6, 2], [-6, 6, -2], [2, -2, 2]]]"
