Name,Color List
11a_230,"[[2, 3, 1, 3, 2, 1, 2, 2, 3, 1, 2, 2]]"
11a_231,"[[3, 2, 1, 3, 2, 2, 1, 3, 1, 2, 2, 3], [2, 3, 1, 1, 1, 1, 1, 2, 3, 1, 1, 2], [1, 1, 1, 3, 2, 2, 1, 1, 3, 2, 2, 1], [1, 3, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1]]"
11a_232,"[[2, 2, 2, 3, 3, 1, 2, 2, 3, 3, 1, 2]]"
11a_236,"[[2, 1, 3, 2, 3, 1, 3, 2, 1, 1, 2, 2]]"
11a_237,"[[2, 2, 2, 2, 1, 3, 2, 2, 2, 3, 1, 2]]"
11a_239,"[[2, 2, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2]]"
11a_243,"[[2, 1, 3, 3, 2, 2, 3, 2, 1, 3, 1, 2]]"
11a_244,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 2]]"
11a_245,"[[2, 2, 2, 3, 1, 3, 2, 2, 2, 1, 1, 2]]"
11a_248,"[[2, 3, 3, 1, 3, 2, 2, 2, 1, 2, 2, 2]]"
11a_249,"[[3, 1, 2, 2, 3, 2, 1, 3, 1, 1, 2, 3], [2, 2, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2], [1, 2, 1, 3, 3, 2, 3, 1, 1, 3, 2, 1], [1, 3, 3, 2, 3, 1, 1, 1, 2, 1, 1, 1]]"
11a_258,"[[2, 3, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2]]"
11a_260,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11a_261,"[[2, 2, 3, 2, 1, 2, 3, 1, 3, 1, 2, 2]]"
11a_263,"[[3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 2, 3], [2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2], [1, 2, 3, 3, 1, 3, 2, 3, 3, 1, 2, 1], [1, 2, 3, 3, 1, 1, 1, 3, 3, 2, 1, 1]]"
11a_264,"[[2, 2, 1, 2, 3, 2, 3, 1, 3, 1, 2, 2]]"
11a_271,"[[2, 3, 2, 1, 3, 1, 3, 3, 2, 2, 1, 2]]"
11a_273,"[[2, 3, 1, 1, 3, 2, 3, 1, 2, 2, 1, 2]]"
11a_274,"[[2, 2, 3, 2, 3, 1, 3, 1, 2, 1, 2, 2]]"
11a_275,"[[2, 1, 2, 3, 2, 3, 3, 1, 3, 3, 1, 2]]"
11a_277,"[[3, 3, 1, 3, 3, 2, 3, 1, 2, 1, 2, 3], [2, 1, 2, 3, 1, 3, 2, 3, 1, 1, 1, 2], [1, 3, 2, 2, 3, 1, 1, 3, 2, 1, 2, 1], [1, 3, 3, 2, 3, 3, 1, 1, 1, 2, 1, 1]]"
11a_278,"[[2, 3, 3, 1, 3, 3, 2, 2, 2, 1, 2, 2]]"
11a_280,"[[2, 1, 1, 3, 2, 1, 1, 3, 2, 3, 1, 2]]"
11a_283,"[[2, 1, 2, 3, 3, 3, 2, 3, 1, 3, 1, 2]]"
11a_286,"[[2, 1, 2, 3, 3, 3, 2, 3, 1, 3, 1, 2]]"
11a_290,"[[2, 2, 3, 2, 3, 1, 3, 3, 1, 2, 1, 2]]"
11a_291,"[[3, 1, 3, 2, 1, 2, 3, 1, 1, 1, 2, 3], [2, 2, 3, 2, 2, 1, 2, 3, 1, 3, 1, 2], [1, 2, 2, 3, 2, 2, 1, 3, 1, 3, 2, 1], [1, 3, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1]]"
11a_292,"[[2, 3, 1, 1, 3, 2, 2, 2, 1, 2, 2, 2]]"
11a_293,"[[3, 1, 3, 2, 1, 2, 3, 1, 1, 1, 2, 3], [2, 2, 3, 2, 2, 1, 2, 3, 1, 3, 1, 2], [1, 2, 2, 3, 2, 2, 1, 3, 1, 3, 2, 1], [1, 3, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1]]"
11a_294,"[[2, 3, 1, 1, 3, 2, 2, 2, 1, 2, 2, 2]]"
11a_296,"[[2, 1, 3, 3, 1, 2, 3, 2, 3, 3, 1, 2]]"
11a_300,"[[2, 2, 3, 2, 3, 1, 3, 1, 2, 1, 2, 2]]"
11a_304,"[[2, 1, 2, 3, 2, 3, 3, 1, 3, 3, 1, 2]]"
11a_305,"[[2, 1, 3, 3, 1, 3, 2, 3, 2, 1, 1, 2]]"
11a_306,"[[2, 3, 2, 1, 2, 3, 1, 3, 3, 1, 2, 2]]"
11a_309,"[[2, 3, 1, 1, 2, 3, 2, 1, 3, 3, 1, 2]]"
11a_314,"[[3, 1, 3, 2, 3, 1, 2, 2, 1, 1, 2, 3], [2, 3, 3, 1, 1, 3, 3, 2, 2, 1, 1, 2], [1, 3, 2, 2, 3, 3, 1, 3, 2, 1, 2, 1], [1, 1, 2, 1, 3, 1, 3, 2, 3, 2, 1, 1]]"
11a_318,"[[2, 1, 3, 3, 1, 3, 2, 3, 3, 2, 1, 2]]"
11a_324,"[[2, 2, 3, 2, 2, 3, 1, 3, 1, 2, 1, 2]]"
11a_332,"[[3, 1, 2, 2, 3, 2, 1, 3, 1, 1, 2, 3], [2, 3, 3, 1, 1, 2, 2, 3, 3, 1, 1, 2], [1, 3, 1, 2, 3, 3, 2, 2, 3, 1, 2, 1], [1, 1, 3, 1, 3, 2, 3, 2, 1, 2, 1, 1]]"
11a_335,"[[2, 1, 2, 3, 3, 2, 2, 3, 1, 3, 1, 2]]"
11a_338,"[[2, 2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
11a_340,"[[2, 2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
11a_344,"[[2, 1, 2, 3, 2, 3, 1, 3, 1, 1, 1, 2]]"
11a_346,"[[2, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2]]"
11a_347,"[[2, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2]]"
11a_351,"[[2, 3, 1, 1, 2, 2, 3, 3, 1, 2, 2, 2]]"
11a_352,"[[3, 3, 2, 3, 1, 3, 1, 2, 1, 1, 2, 3], [2, 1, 2, 3, 3, 2, 2, 3, 1, 3, 1, 2], [1, 3, 3, 2, 3, 1, 2, 1, 1, 3, 2, 1], [1, 3, 2, 2, 1, 1, 3, 3, 2, 1, 1, 1]]"
11a_353,"[[2, 3, 1, 1, 1, 3, 2, 2, 1, 1, 2, 2]]"
11a_354,"[[2, 2, 3, 3, 2, 2, 1, 3, 3, 3, 1, 2]]"
11a_355,"[[2, 2, 1, 3, 2, 3, 1, 3, 2, 1, 1, 2]]"
11a_360,"[[2, 3, 1, 2, 1, 3, 2, 2, 3, 3, 1, 2]]"
11a_361,"[[2, 2, 1, 3, 2, 2, 2, 3, 1, 2, 2, 2]]"
11a_362,"[[2, 2, 1, 3, 2, 2, 2, 3, 1, 2, 2, 2]]"
11a_365,"[[2, 3, 3, 3, 1, 1, 3, 3, 3, 2, 1, 2]]"
11a_366,"[[3, 1, 3, 3, 2, 2, 1, 2, 3, 1, 2, 3], [2, 3, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2], [1, 3, 3, 3, 2, 2, 3, 3, 3, 1, 2, 1], [1, 1, 3, 3, 1, 1, 1, 2, 3, 2, 1, 1]]"
11n_1,"[[2, 3, 1, 1, 2, 1, 3, 2, 3, 2, 1, 2]]"
11n_2,"[[2, 1, 3, 3, 2, 3, 2, 3, 1, 3, 1, 2]]"
11n_13,"[[2, 3, 1, 1, 2, 1, 3, 2, 3, 2, 1, 2]]"
11n_14,"[[2, 3, 1, 1, 2, 1, 2, 3, 1, 3, 1, 2]]"
11n_18,"[[2, 1, 3, 3, 2, 3, 2, 1, 3, 3, 1, 2]]"
11n_28,"[[2, 3, 1, 1, 2, 1, 1, 3, 2, 3, 1, 2]]"
11n_29,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11n_30,"[[2, 3, 1, 1, 2, 1, 1, 3, 2, 3, 1, 2]]"
11n_31,"[[2, 1, 3, 3, 2, 3, 3, 1, 3, 2, 1, 2]]"
11n_32,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11n_33,"[[2, 1, 3, 3, 2, 3, 3, 1, 3, 2, 1, 2]]"
11n_38,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11n_62,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11n_63,"[[2, 3, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2]]"
11n_64,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11n_65,"[[2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 1, 2]]"
11n_66,"[[2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2]]"
11n_67,"[[2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2]]"
11n_68,"[[2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 1, 2]]"
11n_69,"[[2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2]]"
11n_71,"[[3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3], [2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2], [1, 3, 2, 2, 1, 3, 2, 2, 1, 3, 2, 1], [1, 2, 3, 3, 1, 1, 3, 3, 2, 1, 1, 1]]"
11n_72,"[[3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3], [2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2], [1, 3, 2, 2, 1, 3, 2, 2, 1, 3, 2, 1], [1, 2, 3, 3, 1, 1, 3, 3, 2, 1, 1, 1]]"
11n_73,"[[3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3], [2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2], [1, 3, 2, 2, 1, 3, 2, 2, 1, 3, 2, 1], [1, 2, 3, 3, 1, 1, 3, 3, 2, 1, 1, 1]]"
11n_74,"[[3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3], [2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2], [1, 3, 2, 2, 1, 3, 2, 2, 1, 3, 2, 1], [1, 2, 3, 3, 1, 1, 3, 3, 2, 1, 1, 1]]"
