Name,Dihedral Linking Numbers
12a_0939,[]
12a_0940,"[[['x', 'x'], ['x', 'x']]]"
12a_0941,"[[[0, 2], [2, 1]]]"
12a_0944,[]
12a_0949,"[[['x', 'x'], ['x', 'x']]]"
12a_0952,"[[['x', 'x'], ['x', 'x']]]"
12a_0964,[]
12a_0965,[]
12a_0970,[]
12a_0972,[]
12a_0973,[]
12a_0974,[]
12a_0975,"[[['x', 'x'], ['x', 'x']]]"
12a_0976,"[[['x', 'x'], ['x', 'x']]]"
12a_0979,[]
12a_0981,[]
12a_0982,[]
12a_0986,[]
12a_0987,[]
12a_0990,"[[['x', 'x'], ['x', 'x']]]"
12a_0999,[]
12a_1000,[]
12a_1001,"[[[0, 2], [2, 1]]]"
12a_1002,[]
12a_1010,[]
12a_1016,"[[['x', 'x'], ['x', 'x']]]"
12a_1018,[]
12a_1021,"[[['x', 'x'], ['x', 'x']]]"
12a_1022,[]
12a_1025,[]
12a_1026,[]
12a_1029,[]
12a_1036,"[[['x', 'x'], ['x', 'x']]]"
12a_1043,"[[['x', 'x'], ['x', 'x']]]"
12a_1044,"[[['x', 'x'], ['x', 'x']]]"
12a_1050,[]
12a_1057,[]
12a_1059,"[[['x', 'x'], ['x', 'x']]]"
12a_1060,"[[[0, 2], [2, 1]]]"
12a_1061,"[[['x', 'x'], ['x', 'x']]]"
12a_1062,"[[['x', 'x'], ['x', 'x']]]"
12a_1073,"[[['x', 'x'], ['x', 'x']]]"
12a_1076,"[[['x', 'x'], ['x', 'x']]]"
12a_1077,[]
12a_1079,"[[['x', 'x'], ['x', 'x']]]"
12a_1080,"[[['x', 'x'], ['x', 'x']]]"
12a_1087,"[[['x', 'x'], ['x', 'x']]]"
12a_1091,[]
12a_1092,"[[['x', 'x'], ['x', 'x']]]"
12a_1093,"[[['x', 'x'], ['x', 'x']]]"
12a_1094,"[[['x', 'x'], ['x', 'x']]]"
12a_1095,[]
12a_1100,[]
12a_1101,[]
12a_1103,[]
12a_1111,[]
12a_1115,[]
12a_1117,[]
12a_1120,[]
12a_1122,[]
12a_1123,"[[['x', 'x'], ['x', 'x']]]"
12a_1129,[]
12a_1133,[]
12a_1136,"[[[0, 4], [4, 0]]]"
12a_1137,"[[[0, 2], [2, 1]]]"
12a_1142,[]
12a_1144,[]
12a_1146,"[[[0, 2], [2, 1]]]"
12a_1147,"[[['x', 'x'], ['x', 'x']]]"
12a_1151,"[[[0, 2], [2, -1]]]"
12a_1154,"[[['x', 'x'], ['x', 'x']]]"
12a_1155,"[[['x', 'x'], ['x', 'x']]]"
12a_1157,"[[['x', 'x'], ['x', 'x']]]"
12a_1160,"[[['x', 'x'], ['x', 'x']]]"
12a_1161,"[[['x', 'x'], ['x', 'x']]]"
12a_1162,"[[['x', 'x'], ['x', 'x']]]"
12a_1164,"[[['x', 'x'], ['x', 'x']]]"
12a_1166,"[[['x', 'x'], ['x', 'x']]]"
12a_1170,[]
12a_1173,"[[['x', 'x'], ['x', 'x']]]"
12a_1177,[]
12a_1180,[]
12a_1181,[]
12a_1184,[]
12a_1187,[]
12a_1189,[]
12a_1190,[]
12a_1191,[]
12a_1196,[]
12a_1197,[]
12a_1200,[]
12a_1201,[]
12a_1207,[]
12a_1210,[]
12a_1212,"[[['x', 'x'], ['x', 'x']]]"
12a_1214,"[[['x', 'x'], ['x', 'x']]]"
12a_1215,"[[['x', 'x'], ['x', 'x']]]"
12a_1216,[]
12a_1217,[]
12a_1219,[]
12a_1221,[]
12a_1224,"[[['x', 'x'], ['x', 'x']]]"
12a_1225,"[[['x', 'x'], ['x', 'x']]]"
12a_1226,[]
12a_1237,[]
12a_1239,[]
12a_1247,[]
12a_1248,[]
12a_1252,"[[['x', 'x'], ['x', 'x']]]"
12a_1253,[]
12a_1255,"[[['x', 'x'], ['x', 'x']]]"
12a_1260,"[[['x', 'x'], ['x', 'x']]]"
12a_1261,"[[['x', 'x'], ['x', 'x']]]"
12a_1262,"[[['x', 'x'], ['x', 'x']]]"
12a_1265,[]
12a_1266,"[[['x', 'x'], ['x', 'x']]]"
12a_1270,"[[['x', 'x'], ['x', 'x']]]"
12a_1272,[]
12a_1276,"[[['x', 'x'], ['x', 'x']]]"
12a_1282,"[[['x', 'x'], ['x', 'x']]]"
12a_1283,"[[['x', 'x'], ['x', 'x']]]"
12a_1284,"[[['x', 'x'], ['x', 'x']]]"
12a_1285,"[[['x', 'x'], ['x', 'x']]]"
12a_1286,"[[[0, 2], [2, -1]]]"
12a_1288,"[[['x', 'x'], ['x', 'x']]]"
12n_0001,[]
12n_0004,[]
12n_0005,[]
12n_0006,[]
12n_0007,[]
12n_0010,[]
12n_0015,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12n_0016,"[[['x', 'x'], ['x', 'x']]]"
12n_0022,"[[['x', 'x'], ['x', 'x']]]"
12n_0023,"[[['x', 'x'], ['x', 'x']]]"
12n_0027,[]
12n_0028,[]
12n_0030,[]
12n_0031,"[[['x', 'x'], ['x', 'x']]]"
12n_0033,[]
12n_0034,[]
