Name,Sign List
11n_2,"[1, 1, 1, 1, 1, -1, -1, 1, 1, -1, 1, 1]"
11n_13,"[1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
11n_14,"[-1, -1, -1, -1, 1, -1, -1, 1, -1, -1, -1, 1]"
11n_18,"[1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1]"
11n_28,"[1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 1, -1]"
11n_29,"[1, -1, -1, 1, 1, -1, -1, 1, 1, 1, 1, 1]"
11n_30,"[1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_31,"[1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
11n_32,"[1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1]"
11n_33,"[1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 1, -1]"
11n_38,"[1, -1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1]"
11n_62,"[1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1, -1]"
11n_63,"[1, -1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1]"
11n_64,"[1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1]"
11n_65,"[-1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, 1]"
11n_66,"[1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1]"
11n_67,"[1, -1, 1, 1, -1, -1, 1, -1, -1, 1, 1, 1, 1, -1]"
11n_68,"[-1, 1, 1, 1, -1, 1, 1, -1, -1, 1, 1, 1]"
11n_69,"[1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1]"
11n_71,"[1, -1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_72,"[1, 1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1]"
11n_73,"[1, 1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 1]"
11n_74,"[1, 1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1, -1, 1]"
11n_75,"[-1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 1]"
11n_76,"[1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1]"
11n_77,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_78,"[-1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1]"
11n_79,"[1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1, -1]"
11n_80,"[-1, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1]"
11n_81,"[1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_85,"[-1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 1, 1]"
11n_86,"[1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, 1]"
11n_87,"[-1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
11n_92,"[-1, -1, -1, 1, 1, 1, -1, 1, -1, -1, 1, 1]"
11n_94,"[1, -1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1]"
11n_95,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
11n_97,"[-1, -1, -1, 1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1]"
11n_98,"[1, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 1]"
11n_99,"[-1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
11n_100,"[-1, -1, 1, 1, -1, 1, 1, -1, -1, 1, 1, 1]"
11n_101,"[-1, 1, -1, 1, -1, -1, 1, -1, -1, -1, 1, 1]"
11n_102,"[-1, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1]"
11n_104,"[1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_105,"[1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_106,"[-1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, 1]"
11n_107,"[1, -1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_109,"[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1]"
11n_118,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
11n_119,"[-1, -1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1]"
11n_121,"[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1]"
11n_122,"[-1, -1, 1, -1, -1, -1, -1, 1, -1, -1, 1, 1]"
11n_123,"[1, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 1]"
11n_125,"[1, -1, 1, -1, 1, 1, 1, -1, 1, -1, 1, 1]"
11n_126,"[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1]"
11n_136,"[1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1]"
11n_137,"[-1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, 1, 1]"
11n_138,"[-1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1]"
11n_139,"[1, -1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1]"
11n_140,"[-1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, -1, -1, 1]"
11n_141,"[1, -1, -1, -1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1]"
11n_142,"[1, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 1]"
11n_143,"[1, -1, -1, 1, 1, 1, -1, 1, -1, -1, 1, 1]"
11n_145,"[1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1, 1]"
11n_146,"[1, -1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1]"
11n_148,"[1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, 1]"
11n_149,"[1, -1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
11n_150,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, 1, 1]"
11n_153,"[-1, -1, 1, 1, -1, -1, 1, 1, -1, 1, 1, 1]"
11n_155,"[-1, -1, 1, 1, -1, 1, 1, -1, -1, 1, 1, 1]"
11n_158,"[-1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1]"
11n_161,"[1, -1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1, -1, 1]"
11n_164,"[1, -1, 1, 1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1]"
11n_167,"[1, 1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
11n_168,"[1, -1, -1, -1, 1, -1, -1, 1, 1, 1, 1, 1]"
11n_170,"[-1, -1, -1, 1, 1, -1, -1, -1, -1, -1, 1, -1, 1, 1]"
11n_173,"[-1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1]"
11n_176,"[-1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
11n_181,"[1, 1, -1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11n_182,"[1, -1, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1]"
11n_183,"[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_184,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1]"
11n_185,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
12a_0001,"[-1, 1, -1, -1, 1, 1, -1, -1, 1, -1, 1, -1, -1, 1]"
12a_0002,"[-1, 1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 1, 1, 1]"
