Name,Color List
11a_258,"[[2, 3, 2, 2, 1, 2, 3, 1, 2, 2, 3, 1]]"
11a_260,"[[1, 2, 3, 3, 2, 1, 1, 3, 1, 2, 3, 1]]"
11a_261,"[[3, 1, 2, 1, 2, 3, 3, 2, 3, 3, 1, 3]]"
11a_263,"[[1, 2, 3, 2, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1], [3, 2, 1, 2, 1, 3, 3, 2, 1, 3, 2, 1, 3, 3], [1, 1, 1, 1, 2, 1, 1, 3, 2, 3, 1, 1, 1, 1], [2, 3, 1, 3, 3, 2, 2, 1, 3, 3, 3, 1, 2, 2]]"
11a_264,"[[1, 3, 2, 3, 2, 1, 2, 1, 3, 1, 1, 1]]"
11a_271,"[[2, 1, 3, 1, 1, 1, 3, 2, 1, 1, 3, 2, 3, 1]]"
11a_273,"[[2, 3, 3, 2, 3, 2, 1, 3, 1, 2, 1, 3, 1, 1]]"
11a_274,"[[1, 3, 1, 2, 3, 2, 2, 1, 2, 3, 1, 1]]"
11a_275,"[[1, 3, 1, 3, 2, 3, 2, 3, 2, 1, 1, 2, 3, 1]]"
11a_277,"[[2, 3, 2, 3, 1, 2, 2, 1, 3, 3, 1, 2], [3, 2, 1, 2, 1, 3, 2, 3, 3, 1, 3, 3], [2, 2, 3, 2, 2, 2, 1, 1, 3, 1, 1, 2], [1, 2, 2, 2, 3, 1, 3, 2, 3, 1, 2, 1]]"
11a_278,"[[1, 1, 1, 2, 2, 3, 2, 2, 1, 1, 3, 1]]"
11a_280,"[[3, 2, 2, 1, 2, 2, 1, 3, 2, 2, 1, 3, 2, 2, 2, 3, 1, 3]]"
11a_283,"[[2, 1, 3, 2, 1, 3, 2, 1, 2, 3, 3, 3, 3, 1]]"
11a_286,"[[1, 1, 3, 2, 3, 2, 1, 2, 1, 3, 1, 1]]"
11a_290,"[[2, 3, 3, 2, 3, 1, 2, 1, 2, 1, 3, 2, 3, 1]]"
11a_291,"[[2, 2, 2, 3, 2, 2, 1, 3, 1, 3, 2, 3, 1, 2], [3, 1, 2, 1, 1, 2, 1, 3, 1, 3, 2, 1, 3, 3], [2, 3, 1, 1, 3, 1, 2, 3, 2, 3, 1, 1, 1, 2], [1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 1]]"
11a_292,"[[2, 2, 1, 1, 1, 1, 1, 1, 3, 2, 2, 3, 3, 1, 1, 1]]"
11a_293,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 3, 1, 2], [3, 2, 1, 2, 1, 3, 2, 3, 3, 1, 3, 3], [2, 1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2], [1, 3, 2, 2, 2, 1, 3, 2, 3, 1, 2, 1]]"
11a_294,"[[1, 1, 1, 2, 3, 2, 3, 3, 2, 1, 1, 1, 3, 1]]"
11a_296,"[[3, 2, 2, 3, 3, 3, 1, 3, 2, 1, 3, 2, 3, 3, 1, 3]]"
11a_300,"[[3, 1, 2, 1, 2, 3, 2, 3, 3, 3, 1, 3]]"
11a_304,"[[2, 3, 3, 2, 3, 1, 3, 1, 2, 3, 1, 2, 3, 1]]"
11a_305,"[[2, 2, 1, 2, 3, 3, 2, 3, 1, 3, 1, 2]]"
11a_306,"[[3, 1, 2, 1, 2, 3, 2, 3, 3, 3, 1, 3]]"
11a_309,"[[1, 3, 2, 2, 1, 3, 2, 1, 2, 2, 3, 1]]"
11a_314,"[[2, 3, 2, 1, 2, 3, 1, 1, 3, 3, 1, 2], [3, 2, 2, 3, 1, 2, 1, 2, 3, 1, 3, 3], [2, 2, 1, 1, 3, 2, 2, 3, 3, 1, 1, 2], [1, 2, 3, 2, 2, 2, 3, 1, 3, 1, 2, 1]]"
11a_318,"[[2, 3, 1, 3, 3, 1, 3, 2, 3, 3, 2, 3, 1, 2]]"
11a_324,"[[3, 2, 1, 2, 1, 1, 3, 2, 3, 1, 1, 3, 2, 3, 1, 3]]"
11a_332,"[[3, 2, 1, 2, 2, 3, 1, 2, 3, 3, 1, 3], [2, 3, 2, 1, 2, 1, 1, 1, 3, 1, 3, 2], [2, 2, 3, 3, 1, 1, 2, 3, 3, 1, 1, 2], [2, 1, 1, 2, 3, 1, 3, 2, 3, 1, 2, 2]]"
11a_335,"[[2, 1, 3, 3, 3, 2, 1, 3, 2, 1, 3, 3, 1, 2]]"
11a_338,"[[2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 3, 1]]"
11a_340,"[[2, 3, 1, 3, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2]]"
11a_344,"[[1, 2, 3, 2, 3, 1, 3, 2, 3, 1, 2, 3, 1, 1]]"
11a_346,"[[2, 3, 3, 2, 1, 3, 3, 3, 3, 3, 1, 2]]"
11a_347,"[[2, 2, 1, 1, 1, 3, 2, 2, 1, 2, 3, 1, 1, 1]]"
11a_351,"[[2, 2, 3, 3, 1, 1, 2, 3, 3, 3, 1, 2]]"
11a_352,"[[1, 1, 2, 2, 3, 1, 1, 1, 2, 3, 2, 3, 3, 1], [1, 2, 1, 2, 2, 3, 1, 2, 3, 2, 2, 3, 1, 3], [2, 3, 3, 1, 2, 1, 2, 3, 2, 2, 1, 3, 1, 1], [3, 1, 2, 3, 2, 2, 3, 1, 1, 2, 3, 3, 1, 2]]"
