Name,Dihedral Linking Numbers
12a_0097,"[[[-6, 0], [0, -4]]]"
12a_0100,"[[[7, -4], [-4, 3]]]"
12a_0103,"[[[-106/13, 66/13], [66/13, -46/13]]]"
12a_0113,"[[[3, -4], [-4, 0]]]"
12a_0114,"[[[2, -4], [-4, -1]]]"
12a_0116,"[[[0, 0], [0, 1]]]"
12a_0117,"[[[2, -4], [-4, -1]]]"
12a_0119,"[[[2, -4], [-4, -1]], [[2, -4], [-4, -1]], [[2, -4], [-4, -1]], [[3, -6], [-6, 0]]]"
12a_0121,"[[[5, -4], [-4, 3]]]"
12a_0122,"[[[0, 0], [0, 1]]]"
12a_0127,"[[[-4, 0], [0, -1]]]"
12a_0130,"[[[-4, 2], [2, -1]]]"
12a_0136,"[[[-11, 8], [8, -3]]]"
12a_0150,"[[[87/7, -26/7], [-26/7, 27/7]]]"
12a_0151,"[[[-3, 0], [0, -2]]]"
12a_0155,"[[[76/13, -38/13], [-38/13, 6/13]]]"
12a_0156,"[[[-67/13, 14/13], [14/13, -59/13]]]"
12a_0157,"[[[0, 0], [0, -1]]]"
12a_0163,"[[[11, -8], [-8, 2]]]"
12a_0164,"[[[2, -4], [-4, 0]], [[0, 0], [0, -2]], [[0, 0], [0, -2]], [[1, -2], [-2, -1]]]"
12a_0165,"[[[2, -4], [-4, 0]]]"
12a_0166,"[[[1, -2], [-2, -1]], [[2, -4], [-4, 0]], [[0, 0], [0, -2]], [[0, 0], [0, -2]]]"
12a_0167,"[[[0, 0], [0, 3]], [[-1, 2], [2, 2]], [[-2, 4], [4, 1]], [[0, 0], [0, 3]]]"
12a_0168,"[[[0, 0], [0, 2]]]"
12a_0172,"[[[5, -2], [-2, 3]]]"
12a_0175,"[[[-8, 6], [6, -1]]]"
12a_0177,"[[[76/9, -38/9], [-38/9, 37/9]], [['x', 'x'], ['x', 'x']], [[-17/3, 10/3], [10/3, 1/3]], [[-19/3, 14/3], [14/3, -1/3]]]"
12a_0179,"[[[-6, 2], [2, -2]]]"
12a_0181,"[[[-10, 6], [6, -3]]]"
12a_0182,"[[[0, 0], [0, 1]]]"
12a_0189,"[[[-30, 18], [18, -8]]]"
12a_0193,"[[[-8, 6], [6, -1]]]"
12a_0195,"[[[-2, 4], [4, 0]]]"
12a_0197,"[[[-2, 2], [2, 0]]]"
12a_0203,"[[[-11, 8], [8, -3]]]"
12a_0206,"[[[-13, 6], [6, -6]]]"
12a_0207,"[[[-74/5, 42/5], [42/5, -21/5]]]"
12a_0208,"[[[-78/7, 46/7], [46/7, -16/7]]]"
12a_0209,"[[[-70/19, 54/19], [54/19, -27/19]]]"
12a_0210,"[[[5, -6], [-6, 0]]]"
12a_0212,"[[[1, -2], [-2, 0]]]"
12a_0215,"[[[-13, 10], [10, -3]]]"
12a_0223,"[[[10, -4], [-4, 4]]]"
12a_0224,"[[[-1, 0], [0, -1]]]"
12a_0229,"[[[-98/13, 62/13], [62/13, -18/13]]]"
12a_0231,"[[[93/5, -54/5], [-54/5, 12/5]]]"
12a_0233,"[[[-7, 4], [4, -2]]]"
12a_0234,"[[[3, -2], [-2, 1]]]"
12a_0236,"[[[5, -6], [-6, 0]]]"
12a_0239,"[[[-1, -2], [-2, -1]]]"
12a_0244,"[[[-11/3, 10/3], [10/3, 1/3]], [['x', 'x'], ['x', 'x']], [[-107/3, 58/3], [58/3, -23/3]], [[-11/3, 10/3], [10/3, 1/3]]]"
12a_0245,"[[[-7/3, 2/3], [2/3, -4/3]], [[-4/3, 2/3], [2/3, -4/3]], [[-98/3, 46/3], [46/3, -26/3]], [['x', 'x'], ['x', 'x']]]"
12a_0246,"[[[-9, 4], [4, -4]]]"
12a_0251,"[[[-8, 2], [2, -2]]]"
12a_0256,"[[[33, -18], [-18, 8]]]"
12a_0260,"[[[78/5, -34/5], [-34/5, 17/5]]]"
12a_0265,"[[[-25/3, 14/3], [14/3, -7/3]], [[-23/3, 10/3], [10/3, -5/3]], [[-82/21, 62/21], [62/21, -31/21]], [[-25/3, 14/3], [14/3, -7/3]]]"
12a_0269,"[[[-90/11, 34/11], [34/11, -50/11]]]"
12a_0270,"[[[-44/9, 22/9], [22/9, -29/9]], [[-5/3, -2/3], [-2/3, -5/3]], [[-7/3, 2/3], [2/3, -7/3]], [['x', 'x'], ['x', 'x']]]"
12a_0280,"[[[2, -4], [-4, 0]]]"
12a_0281,"[[[2, -4], [-4, -1]]]"
12a_0287,"[[[-23, 12], [12, -4]]]"
12a_0288,"[[[-122/13, 74/13], [74/13, -11/13]]]"
12a_0290,"[[[0, 0], [0, -1]]]"
12a_0291,"[[[1, 0], [0, -1]]]"
12a_0292,"[[[0, 2], [2, 0]]]"
12a_0295,"[[[4, -6], [-6, -2]], [[4, -6], [-6, -2]], [[2, -4], [-4, -3]], [[5, -8], [-8, -1]]]"
12a_0296,"[[[29, -16], [-16, 7]]]"
12a_0297,"[[[-3, 4], [4, 1]], [[-4, 6], [6, 0]], [[0, 0], [0, 3]], [[-2, 2], [2, 2]]]"
12a_0298,"[[[-5, 2], [2, 0]], [[-6, 4], [4, -1]], [[-7, 6], [6, -2]], [[0, 0], [0, 1]]]"
12a_0302,"[[[-2, 2], [2, 1]]]"
12a_0303,"[[[-5, 2], [2, 0]]]"
12a_0306,"[[[-2, 2], [2, 1]]]"
12a_0308,"[[[31, -16], [-16, 9]]]"
12a_0311,"[[[-16/3, 2/3], [2/3, -10/3]], [[-19/3, 2/3], [2/3, -10/3]], [['x', 'x'], ['x', 'x']], [[83/3, -46/3], [-46/3, 14/3]]]"
12a_0312,"[[[-66/7, 26/7], [26/7, -27/7]]]"
